zinc_id,smiles
ZINC000004213474,ClCC(=O)[C@]12[C@]3(C)[C@H]([C@H]4[C@](F)([C@@H](O)C3)[C@]3(C)C(=CC(=O)CC3)CC4)C[C@H]1OC(C)(C)O2
ZINC000060325170,Ic1cc(F)c(Nc2c(F)c(F)ccc2C(=O)N2CC(O)([C@H]3[NH2+]CCCC3)C2)cc1
ZINC000004097476,Ic1c(NC(=O)C)c(I)c(C(=O)[O-])c(I)c1NC(=O)C
ZINC000003787097,Clc1c(N2C[C@H]([NH3+])CCCC2)c(F)cc2C(=O)C(C(=O)[O-])=CN(C3CC3)c12
ZINC000012358719,O=C(OCC)c1ccc(N)cc1
ZINC000003806262,OC[C@@H]1[C@@H](O)C[C@H](n2c3N=CNC[C@@H](O)c3nc2)O1
ZINC000003830453,O=C(N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC)CS[C@H]12)/C(=N\OC)/c1nc(N)sc1
ZINC000003812933,[NH3+]C12C[C@]3(C)C[C@](C)(C1)CC(C2)C3
ZINC000003874185,FC(F)(F)c1nc2c(C(F)(F)F)cccc2c([C@H](O)[C@H]2[NH2+]CCCC2)c1
ZINC000100027531,O=C(OC1C[C@@H]2[N+](C)(C)[C@H]([C@H]3O[C@H]23)C1)[C@H](CO)c1ccccc1
ZINC000001485935,Fc1c([C@](O)([C@@H](C)c2scc(-c3ccc(C#N)cc3)n2)Cn2ncnc2)cc(F)cc1
ZINC000000004351,O=C1c2sccc2C(=C2CC[NH+](C)CC2)c2c(cccc2)C1
ZINC000053084692,Fc1cc(COc2ccc(C[NH2+][C@H](C(=O)N)C)cc2)ccc1
ZINC000019632668,O=C1N(CC)C[C@@H](CC[NH+]2CCOCC2)C1(c1ccccc1)c1ccccc1
ZINC000252286875,O=C([O-])[C@H]1[C@@H](O)C[C@@H](O[C@H]2[C@@H](O)[C@@H]([NH3+])[C@H](O)[C@@H](C)O2)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)C[C@@H](O)C[C@@H](O)C[C@@H](O)CC[C@@H](O)[C@@H](O)CC(=O)C[C@H]1O
ZINC000017146904,S(CCC)c1cc2NC(=NC(=O)OC)Nc2cc1
ZINC000008552123,O(C)c1c(OC)cc2c([C@@H]3[NH+](C[C@H](CC(C)C)C(=O)C3)CC2)c1
ZINC000022056030,[NH+]([C@H](Cc1ccccc1)C)(CC#C)C
ZINC000001530654,Clc1cc2[nH+]ccc(N[C@H](CCC[NH+](CCO)CC)C)c2cc1
ZINC000002847375,O=C([C@H]([NH+](CC)CC)C)c1ccccc1
ZINC000004215234,O=C(N[C@@H]1C(=O)N2C(C(=O)[O-])=C(/C=C\c3c(C)ncs3)CS[C@H]12)/C(=N\OC)/c1nc(N)sc1
ZINC000001850377,ClC(Cl)=C[C@@H]1[C@H](C(=O)OCc2cc(Oc3ccccc3)ccc2)C1(C)C
ZINC000013973998,O([C@H](OC(=O)C(C)C)C)C(=O)NCC1(CC(=O)[O-])CCCCC1
ZINC000000897301,O=C(OC1C[C@@H]2N3[C@@H](C1)CC(C(=O)C3)C2)c1c2c([nH]c1)cccc2
ZINC000242437511,O([C@H]1[C@@H](O)[C@@H](O[C@H]2[C@H](O)[C@@H]([NH2+]C)[C@](O)(C)CO2)[C@@H]([NH3+])C[C@H]1[NH3+])[C@H]1[C@@H]([NH3+])CC[C@@H]([C@H]([NH2+]C)C)O1
ZINC000007997952,O([C@@](C)(c1ncccc1)c1ccccc1)CC[NH+](C)C
ZINC000003806104,S(=O)(=O)(N[C@H](C(=O)[O-])Cc1ccc(OCCCCC2CC[NH2+]CC2)cc1)CCCC
ZINC000003830391,O=C(N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C)CS[C@H]12)[C@H](N)c1ccc(O)cc1
ZINC000003926298,[S@@H0](=O)(CCCC(F)(F)C(F)(F)F)CCCCCCCCC[C@H]1[C@H]2[C@H]3[C@@](C)([C@@H](O)CC3)CC[C@@H]2c2c(cc(O)cc2)C1
ZINC000001530580,O(CC[NH2+]C[C@@H](O)COc1c2c([nH]c3c2cccc3)ccc1)c1c(OC)cccc1
ZINC000000001982,S(=O)(=O)(N(CCC)CCC)c1ccc(C(=O)[O-])cc1
ZINC000004099032,ClCCN(C(=O)Oc1cc2c([C@@H]3[C@H]([C@H]4[C@@](C)([C@@H](O)CC4)CC3)CC2)cc1)CCCl
ZINC000001999487,NC1=[NH+]C[C@@H]2N1c1c(cccc1)Cc1c2cccc1
ZINC000000057512,S(=O)(=O)(N=C([O-])NN1CCCCCC1)c1ccc(C)cc1
ZINC000001532529,S(CC[C@H]([NH3+])C(=O)[O-])C
